(1, 1, 1, 1, 1):100
(0, 1, 1, 1, 1):10
(-1, 1, 1, 1, 1):0
(1, 0, 1, 1, 1):10
(0, 0, 1, 1, 1):5
(-1, 0, 1, 1, 1):0
(1, -1, 1, 1, 1):0
(0, -1, 1, 1, 1):0
(-1, -1, 1, 1, 1):0
(1, 1, 0, 1, 1):10
(0, 1, 0, 1, 1):5
(-1, 1, 0, 1, 1):0
(1, 0, 0, 1, 1):5
(0, 0, 0, 1, 1):1
(-1, 0, 0, 1, 1):0
(1, -1, 0, 1, 1):0
(0, -1, 0, 1, 1):0
(-1, -1, 0, 1, 1):0
(1, 1, -1, 1, 1):0
(0, 1, -1, 1, 1):0
(-1, 1, -1, 1, 1):0
(1, 0, -1, 1, 1):0
(0, 0, -1, 1, 1):0
(-1, 0, -1, 1, 1):0
(1, -1, -1, 1, 1):0
(0, -1, -1, 1, 1):0
(-1, -1, -1, 1, 1):0
(1, 1, 1, 0, 1):10
(0, 1, 1, 0, 1):5
(-1, 1, 1, 0, 1):0
(1, 0, 1, 0, 1):5
(0, 0, 1, 0, 1):1
(-1, 0, 1, 0, 1):0
(1, -1, 1, 0, 1):0
(0, -1, 1, 0, 1):0
(-1, -1, 1, 0, 1):0
(1, 1, 0, 0, 1):5
(0, 1, 0, 0, 1):1
(-1, 1, 0, 0, 1):0
(1, 0, 0, 0, 1):1
(0, 0, 0, 0, 1):0
(-1, 0, 0, 0, 1):0
(1, -1, 0, 0, 1):0
(0, -1, 0, 0, 1):0
(-1, -1, 0, 0, 1):0
(1, 1, -1, 0, 1):0
(0, 1, -1, 0, 1):0
(-1, 1, -1, 0, 1):0
(1, 0, -1, 0, 1):0
(0, 0, -1, 0, 1):0
(-1, 0, -1, 0, 1):0
(1, -1, -1, 0, 1):0
(0, -1, -1, 0, 1):0
(-1, -1, -1, 0, 1):0
(1, 1, 1, -1, 1):0
(0, 1, 1, -1, 1):0
(-1, 1, 1, -1, 1):0
(1, 0, 1, -1, 1):0
(0, 0, 1, -1, 1):0
(-1, 0, 1, -1, 1):0
(1, -1, 1, -1, 1):0
(0, -1, 1, -1, 1):0
(-1, -1, 1, -1, 1):0
(1, 1, 0, -1, 1):0
(0, 1, 0, -1, 1):0
(-1, 1, 0, -1, 1):0
(1, 0, 0, -1, 1):0
(0, 0, 0, -1, 1):0
(-1, 0, 0, -1, 1):0
(1, -1, 0, -1, 1):0
(0, -1, 0, -1, 1):0
(-1, -1, 0, -1, 1):0
(1, 1, -1, -1, 1):0
(0, 1, -1, -1, 1):0
(-1, 1, -1, -1, 1):0
(1, 0, -1, -1, 1):0
(0, 0, -1, -1, 1):0
(-1, 0, -1, -1, 1):0
(1, -1, -1, -1, 1):0
(0, -1, -1, -1, 1):0
(-1, -1, -1, -1, 1):0
(1, 1, 1, 1, -1):0
(0, 1, 1, 1, -1):0
(-1, 1, 1, 1, -1):0
(1, 0, 1, 1, -1):0
(0, 0, 1, 1, -1):0
(-1, 0, 1, 1, -1):0
(1, -1, 1, 1, -1):0
(0, -1, 1, 1, -1):0
(-1, -1, 1, 1, -1):0
(1, 1, 0, 1, -1):0
(0, 1, 0, 1, -1):0
(-1, 1, 0, 1, -1):0
(1, 0, 0, 1, -1):0
(0, 0, 0, 1, -1):0
(-1, 0, 0, 1, -1):0
(1, -1, 0, 1, -1):0
(0, -1, 0, 1, -1):0
(-1, -1, 0, 1, -1):0
(1, 1, -1, 1, -1):0
(0, 1, -1, 1, -1):0
(-1, 1, -1, 1, -1):0
(1, 0, -1, 1, -1):0
(0, 0, -1, 1, -1):0
(-1, 0, -1, 1, -1):0
(1, -1, -1, 1, -1):0
(0, -1, -1, 1, -1):0
(-1, -1, -1, 1, -1):0
(1, 1, 1, 0, -1):0
(0, 1, 1, 0, -1):0
(-1, 1, 1, 0, -1):0
(1, 0, 1, 0, -1):0
(0, 0, 1, 0, -1):0
(-1, 0, 1, 0, -1):0
(1, -1, 1, 0, -1):0
(0, -1, 1, 0, -1):0
(-1, -1, 1, 0, -1):0
(1, 1, 0, 0, -1):0
(0, 1, 0, 0, -1):0
(-1, 1, 0, 0, -1):0
(1, 0, 0, 0, -1):0
(0, 0, 0, 0, -1):0
(-1, 0, 0, 0, -1):-1
(1, -1, 0, 0, -1):0
(0, -1, 0, 0, -1):-1
(-1, -1, 0, 0, -1):-5
(1, 1, -1, 0, -1):0
(0, 1, -1, 0, -1):0
(-1, 1, -1, 0, -1):0
(1, 0, -1, 0, -1):0
(0, 0, -1, 0, -1):-1
(-1, 0, -1, 0, -1):-5
(1, -1, -1, 0, -1):0
(0, -1, -1, 0, -1):-5
(-1, -1, -1, 0, -1):-10
(1, 1, 1, -1, -1):0
(0, 1, 1, -1, -1):0
(-1, 1, 1, -1, -1):0
(1, 0, 1, -1, -1):0
(0, 0, 1, -1, -1):0
(-1, 0, 1, -1, -1):0
(1, -1, 1, -1, -1):0
(0, -1, 1, -1, -1):0
(-1, -1, 1, -1, -1):0
(1, 1, 0, -1, -1):0
(0, 1, 0, -1, -1):0
(-1, 1, 0, -1, -1):0
(1, 0, 0, -1, -1):0
(0, 0, 0, -1, -1):-1
(-1, 0, 0, -1, -1):-5
(1, -1, 0, -1, -1):0
(0, -1, 0, -1, -1):-5
(-1, -1, 0, -1, -1):-10
(1, 1, -1, -1, -1):0
(0, 1, -1, -1, -1):0
(-1, 1, -1, -1, -1):0
(1, 0, -1, -1, -1):0
(0, 0, -1, -1, -1):-5
(-1, 0, -1, -1, -1):-10
(1, -1, -1, -1, -1):0
(0, -1, -1, -1, -1):-10
(-1, -1, -1, -1, -1):-100
(1, 1, 1, 1, 0):10
(0, 1, 1, 1, 0):5
(-1, 1, 1, 1, 0):0
(1, 0, 1, 1, 0):5
(0, 0, 1, 1, 0):1
(-1, 0, 1, 1, 0):0
(1, -1, 1, 1, 0):0
(0, -1, 1, 1, 0):0
(-1, -1, 1, 1, 0):0
(1, 1, 0, 1, 0):5
(0, 1, 0, 1, 0):1
(-1, 1, 0, 1, 0):0
(1, 0, 0, 1, 0):1
(0, 0, 0, 1, 0):0
(-1, 0, 0, 1, 0):0
(1, -1, 0, 1, 0):0
(0, -1, 0, 1, 0):0
(-1, -1, 0, 1, 0):0
(1, 1, -1, 1, 0):0
(0, 1, -1, 1, 0):0
(-1, 1, -1, 1, 0):0
(1, 0, -1, 1, 0):0
(0, 0, -1, 1, 0):0
(-1, 0, -1, 1, 0):0
(1, -1, -1, 1, 0):0
(0, -1, -1, 1, 0):0
(-1, -1, -1, 1, 0):0
(1, 1, 1, 0, 0):5
(0, 1, 1, 0, 0):1
(-1, 1, 1, 0, 0):0
(1, 0, 1, 0, 0):1
